rank,singular_value,energy_frac
1,1166.6467,0.34621146
2,482.0479,0.05910757
3,315.56668,0.025330571
4,241.04005,0.014778867
5,221.21593,0.012447883
6,211.1335,0.011339059
7,200.57106,0.010232912
8,186.77571,0.008873675
9,176.5516,0.007928774
10,171.9993,0.0075251656
11,169.80374,0.0073342756
12,164.43362,0.0068777115
13,160.186,0.0065269736
14,157.53842,0.0063129985
15,151.32547,0.0058248774
16,149.33119,0.00567236
17,140.18622,0.0049988874
18,139.16672,0.004926443
19,137.00404,0.0047745174
20,135.50888,0.0046708747
21,134.5489,0.00460493
22,131.86139,0.004422807
23,129.63087,0.0042744437
24,129.27443,0.0042509693
25,125.469635,0.004004423
26,124.30445,0.003930394
27,124.222305,0.0039252006
28,123.746315,0.0038951775
29,122.71796,0.0038307072
30,121.41887,0.003750033
31,120.176735,0.0036736983
32,118.09758,0.0035476822
33,117.03718,0.0034842587
34,116.50155,0.0034524398
35,114.65326,0.0033437633
36,113.24096,0.0032618935
37,112.57047,0.0032233812
38,109.64656,0.0030581073
39,109.012436,0.0030228375
40,108.394714,0.0029886765
41,107.51942,0.0029406038
42,107.27361,0.0029271739
43,106.35722,0.0028773765
44,104.521774,0.0027789215
45,103.98846,0.0027506351
46,102.70961,0.0026833965
47,102.611,0.0026782465
48,101.615036,0.0026265075
49,100.414734,0.0025648242
50,100.332565,0.0025606283
51,99.8582,0.0025364726
52,99.09244,0.00249772
53,97.61162,0.0024236268
54,97.05824,0.0023962248
55,96.96616,0.0023916801
56,96.25037,0.0023565001
57,95.69025,0.0023291532
58,95.3959,0.002314846
59,94.77396,0.0022847606
60,94.14449,0.002254512
61,93.71356,0.00223392
62,93.19603,0.0022093144
63,92.27947,0.0021660721
64,92.08448,0.0021569277
